,1. Project Governance & Coordination,Transition from Collaboration Agreement,Phase 1,PG-09,FID Readiness Gate,"FID Readiness Review — consolidated pack sign-off; readiness for Board, InfraCredit, SHA execution.",JDT Leads,FID readiness sign-off memo,,8/11/2026,8/18/2026,Week 17,Week 18,2 wks,"FN-09, TE-06, RA-06, MR-05",★ GATE
,2. Site Assessment & Preparation,Feasibility Study and Historical Data Acquisition,Phase 2,SA-01,Marina Site Inspection,"Physical assessment of DEL's 6MW Marina IPP — condition, layout, integration points.",Technical,Marina site assessment report,,5/26/2026,6/1/2026,Week 6,Week 6,1 wks,PG-02,
,2. Site Assessment & Preparation,Feasibility Study and Historical Data Acquisition,Phase 2,SA-02,Lekki Site Inspection,Physical assessment of 3MW Lekki IPP and surrounding distribution assets.,Technical,Lekki site assessment report,,5/26/2026,6/1/2026,Week 6,Week 6,1 wks,PG-02,
,2. Site Assessment & Preparation,Feasibility Study and Historical Data Acquisition,Phase 2,SA-03,Injection Points,"Assessment of Ijora TCN substation interface, Ajele I/J, 33kV outdoor substation.",Technical,Injection point assessment report,,6/2/2026,6/9/2026,Week 7,Week 8,2 wks,CS-02,Critical
,2. Site Assessment & Preparation,Feasibility Study and Historical Data Acquisition,Phase 2,SA-04,Feeder Route Survey,"Field survey of Marina/Ijora/UBA 33kV feeder routes — condition, right-of-way.",Technical,Feeder route survey report,,6/2/2026,6/12/2026,Week 7,Week 8,2 wks,SA-03,Critical
,2. Site Assessment & Preparation,Customer Access,Phase 2,SA-05,Customer Enumeration,"Validated count of connected/meter customers, load profiles, consumption patterns per cluster.",Technical,"Customer & load database (Marina, Lekki Ph1)",,5/26/2026,6/15/2026,Week 6,Week 8,3 wks,RA-03,Critical
,3. Technical Design & Engineering,Design and Engineering,Phase 3,TE-01,Feeder Simulations,"33kV Marina/Ijora/UBA feeder simulation — power flow, voltage profile, stability under base/peak.",Technical,Feeder simulation report,,6/12/2026,6/25/2026,Week 8,Week 10,3 wks,"SA-04, SA-05",Critical
,3. Technical Design & Engineering,Design and Engineering,Phase 3,TE-02,Transformer Assessment,"Condition appraisal of distribution transformers — oil tests, thermography, load profiles.",Technical,Transformer condition report,,6/9/2026,6/22/2026,Week 8,Week 9,2 wks,SA-03,
,3. Technical Design & Engineering,Design and Engineering,Phase 3,TE-03,Network Capacity,Headroom analysis to confirm capacity for embedded gen integration and incremental load.,Technical,Network capacity & headroom report,,6/18/2026,7/1/2026,Week 9,Week 11,3 wks,"TE-01, TE-02",Critical
,3. Technical Design & Engineering,Design and Engineering,Phase 3,TE-04,Preliminary Design,"Single-line diagrams + preliminary dual-path architecture (132kV Ijora interface, 33kV switchgear).",Technical,Preliminary design + SLDs,,6/25/2026,7/8/2026,Week 10,Week 12,3 wks,TE-03,Critical
,3. Technical Design & Engineering,Design and Engineering,Phase 3,TE-05,Final Design + BEME,Final engineering design and Bills of Engineering Measurement & Evaluation for the pilot.,Technical,Final design + BEME,,7/9/2026,7/24/2026,Week 12,Week 14,3 wks,TE-04,Critical
,3. Technical Design & Engineering,Design and Engineering,Phase 3,TE-06,Tender Tech Pack,"Translate final design into EPC tender technical pack — specs, performance guarantees, drawings.",Technical,EPC technical tender pack,,7/23/2026,8/3/2026,Week 14,Week 15,2 wks,TE-05,Critical
,3. Technical Design & Engineering,Design and Engineering,Phase 3,TE-07,Owner's Engineer Scope,"Define scope for post-FID Owner's Engineer appointment — supervision, design review, T&C oversight.",Technical,Owner's Engineer TOR + indicative shortlist,,7/27/2026,8/7/2026,Week 14,Week 16,3 wks,TE-04,
,4. Regulatory Approvals & Permits,Regulatory Engagement,Phase 4,RA-01,Regulatory Mapping,"Map NERC, LASERC, TCN, FMEnv requirements applicable to the SPV model; gap analysis.",Regulatory,Regulatory pathway map,,5/26/2026,6/5/2026,Week 6,Week 7,2 wks,PG-02,Critical
,4. Regulatory Approvals & Permits,Regulatory Engagement,Phase 4,RA-02,Licensing Strategy,"Pathway design for Generation, IEDN/Distribution, and Supply licences — timelines, conditions.",Regulatory,Licensing strategy memo,,6/4/2026,6/17/2026,Week 7,Week 9,3 wks,RA-01,
,4. Regulatory Approvals & Permits,"Stakeholder Management (InfraCredit, LASERC, EKEDP, Lagos State)",Phase 4,RA-03,EKEDP Consent,"Formal consent for SPV customer engagement, bilateral allocation and feeder access",Regulatory,Signed EKEDP consent letter,,6/2/2026,7/3/2026,Week 7,Week 11,5 wks,CS-02,Critical
,4. Regulatory Approvals & Permits,"Stakeholder Management (InfraCredit, LASERC, EKEDP, Lagos State)",Phase 4,RA-04,InfraCredit Reg Pre-engagement,Early regulatory dialogue with InfraCredit credit committee on permitting expectations.,Regulatory,InfraCredit regulatory comfort note,,6/16/2026,7/6/2026,Week 9,Week 11,3 wks,"RA-01, FN-05",
,4. Regulatory Approvals & Permits,"Stakeholder Management (InfraCredit, LASERC, EKEDP, Lagos State)",Phase 4,RA-05,LASERC Pre-engagement,Pre-application dialogue with Lagos State Electricity Regulatory Commission on embedded gen permit.,Regulatory,LASERC pre-engagement record,,6/16/2026,7/6/2026,Week 9,Week 11,3 wks,CS-03,
,4. Regulatory Approvals & Permits,Regulatory Engagement,Phase 4,RA-06,Pre-FID Reg Compliance,"Compliance pack: MYTO framework, EPSRA, Electricity Act 2023, Lagos State Electricity Law.",Regulatory,Pre-FID regulatory compliance memo,,7/7/2026,7/24/2026,Week 12,Week 14,3 wks,"RA-02, RA-03, RA-05",Critical
,5. Community & Stakeholder Engagement,"Stakeholder Management (InfraCredit, LASERC, EKEDP, Lagos State)",Phase 1,CS-01,Stakeholder Map,"Map NERC, LASERC, TCN, EKEDP, InfraCredit, gas suppliers, Lagos State, premium customers, communities.",Stakeholder Lead ,Stakeholder map + engagement plan,,5/26/2026,6/5/2026,Week 6,Week 7,2 wks,PG-02,
,5. Community & Stakeholder Engagement,"Stakeholder Management (InfraCredit, LASERC, EKEDP, Lagos State)",Phase 5,CS-02,EKEDP Interface,Working sessions with EKEDP Ops for data sharing and consent,Stakeholder Lead ,Engagement record; data-sharing MoU,,5/26/2026,7/3/2026,Week 6,Week 11,6 wks,CS-01,Critical
,5. Community & Stakeholder Engagement,"Stakeholder Management (InfraCredit, LASERC, EKEDP, Lagos State)",Phase 5,CS-03,Lagos State Engagement,"Engage Lagos State Ministry of Energy, LASERC, Office of SDGs; align on policy support.",Stakeholder Lead ,Engagement record; comfort letter (if available),,6/9/2026,7/10/2026,Week 8,Week 12,5 wks,CS-01,
,5. Community & Stakeholder Engagement,Customer Access,Phase 5,CS-04,Premium Customer Pre-engagement,"Soft engagement with major banks, corporates, hospitality on Marina/UBA feeders for premium PPAs.",Commercial,Premium customer interest list; indicative PPA terms,,6/16/2026,7/24/2026,Week 9,Week 14,6 wks,SA-05,Critical
,5. Community & Stakeholder Engagement,"Stakeholder Management (InfraCredit, LASERC, EKEDP, Lagos State)",Phase 5,CS-05,Lender / Supplier Liaison,"Continuous engagement track: InfraCredit, TCN, gas suppliers — alignment on FID conditions.",Regulatory,Engagement log; pre-FID alignment record,,6/16/2026,8/7/2026,Week 9,Week 16,8 wks,CS-01,
,6. Procurement & Contracting,Legal (Drafting and documentation),Phase 6,PC-01,EPC HoT,"EPC Heads of Terms — scope, lump-sum/target-cost basis, key dates, performance guarantees.",Commercial ,EPC HoT signed (or term sheet agreed),,7/13/2026,8/3/2026,Week 12,Week 15,4 wks,TE-04,Critical
,6. Procurement & Contracting,Legal (Drafting and documentation),Phase 6,PC-02,O&M HoT,"O&M Heads of Terms — availability targets, response times, performance bonus/penalty.",Commercial ,O&M HoT signed,,7/20/2026,8/7/2026,Week 13,Week 16,4 wks,TE-04,
,6. Procurement & Contracting,Legal (Drafting and documentation),Phase 6,PC-03,Gas Supply HoT,"Gas Supply HoT — volume, pricing formula, take-or-pay terms with gas aggregator/supplier.",Commercial ,Gas Supply HoT signed,,6/30/2026,7/24/2026,Week 11,Week 14,4 wks,TE-05,
,6. Procurement & Contracting,Legal (Drafting and documentation),Phase 6,PC-04,PPA Term-Sheets,"PPA term-sheets with target premium customers — tariff, availability, term, security.",Commercial ,PPA term-sheets (target portfolio),,7/7/2026,8/7/2026,Week 12,Week 16,5 wks,"CS-04, FN-03",Critical
,7. Financing & Lender Requirements,Financial Model and Financing Structure,Phase 7,FN-01,Model v0 Build,"Skeleton integrated cashflow model — structure, line items, base assumptions.",Commercial ,Financial model ,,5/26/2026,6/5/2026,Week 6,Week 7,2 wks,PG-03,Critical
,7. Financing & Lender Requirements,Financial Model and Financing Structure,Phase 7,FN-02,Assumption Validation,"Validate tariff, gas price, capex, opex, capacity factor, FX assumptions with technical and commercial workstreams.",Commercial ,Validated assumption book,,6/2/2026,6/19/2026,Week 7,Week 9,3 wks,FN-01,Critical
,7. Financing & Lender Requirements,Financial Model and Financing Structure,Phase 7,FN-03,Tariff & Revenue Build-up,"₦/kWh build-up — cost-reflective, lender-grade; PPA + MYTO blend; revenue allocation framework.",Commercial ,Tariff build-up + revenue allocation framework,,6/16/2026,7/3/2026,Week 9,Week 11,3 wks,TE-03,Critical
,7. Financing & Lender Requirements,Financial Model and Financing Structure,Phase 7,FN-04,Capital Structure,"Equity/debt mix, capital call mechanics, escrow & cash waterfall design.",Commercial ,Capital structure memo + waterfall design,,6/23/2026,7/10/2026,Week 10,Week 12,3 wks,FN-02,Critical
,7. Financing & Lender Requirements,"Stakeholder Management (InfraCredit, LASERC, EKEDP, Lagos State)",Phase 7,FN-05,InfraCredit Pre-engagement,"Pre-engagement with InfraCredit — eligibility test, credit committee priming, indicative term sheet.",Commercial ,Indicative term sheet from InfraCredit,,6/23/2026,7/17/2026,Week 10,Week 13,4 wks,FN-01,Critical
,7. Financing & Lender Requirements,Financial Model and Financing Structure,Phase 7,FN-06,Final Financial Model,Lender-grade final model — DSCR/LLCR base case + sensitivities; structured for audit.,Commercial ,Final financial model,,7/6/2026,7/24/2026,Week 11,Week 14,4 wks,"FN-04, FN-05",Critical
,7. Financing & Lender Requirements,Financial Model and Financing Structure,Phase 7,FN-07,Model Audit,Independent model audit by external auditor (required for InfraCredit credit committee).,External auditor,Model audit report,,7/27/2026,8/7/2026,Week 14,Week 16,3 wks,FN-06,
,7. Financing & Lender Requirements,Financial Model and Financing Structure,Phase 7,FN-08,Lender Pack,"Lender engagement pack: project description, model, key contracts, risk allocation, ESG.",Commercial,Lender engagement pack issued,,8/3/2026,8/14/2026,Week 15,Week 17,3 wks,FN-06,Critical
,7. Financing & Lender Requirements,"Business Plan, IM",Phase 7,FN-09,Business Plan & IM,"Consolidated Business Plan and Investor Memorandum for Board, InfraCredit, sponsors.",Commercial,Business Plan + IM ,,7/20/2026,8/14/2026,Week 13,Week 17,5 wks,"FN-08, TE-05, RA-06",Critical
,8. Construction Readiness,Design and Engineering,Phase 8,CN-01,EPC Tender Strategy,Define post-FID EPC tender approach — bidder shortlist and evaluation criteria.,Commercial,EPC tender strategy paper,,7/13/2026,7/24/2026,Week 12,Week 14,3 wks,TE-05,
,8. Construction Readiness,Legal (Drafting and documentation),Phase 8,CN-02,Risk Allocation Framework,Construction risk allocation matrix — what the EPC carries vs the SPV vs the lender.,Commercial,Construction risk allocation matrix,,7/7/2026,7/24/2026,Week 12,Week 14,3 wks,CN-01,
,8. Construction Readiness,Design and Engineering,Phase 8,CN-03,Long-Lead Equipment Scoping,"Identify long-lead items (132/33kV transformer, 33kV switchgear) — indicative quotes, lead times.",Technical,Long-lead item scoping list with indicative pricing,,7/13/2026,7/31/2026,Week 12,Week 15,4 wks,TE-05,
,9. Commissioning Planning,Design and Engineering,Phase 9,TC-01,Commissioning Strategy,"High-level commissioning approach — FAT/SAT scope, cold/hot commissioning sequencing.",Technical,Commissioning strategy note,,7/27/2026,8/7/2026,Week 14,Week 16,3 wks,TE-05,
,9. Commissioning Planning,Design and Engineering,Phase 9,TC-02,Performance Test Framework,"KPIs and test framework for EPC performance guarantees — availability, heat rate, voltage.",Technical,Performance test framework,,7/27/2026,8/7/2026,Week 14,Week 16,3 wks,TE-05,
,9. Commissioning Planning,Legal (Drafting and documentation),Phase 9,TC-03,COD Definition,Define COD conditions precedent ,Technical,COD definition + CPs,,8/3/2026,8/14/2026,Week 15,Week 17,3 wks,TC-01,
,10. Operations & Maintenance Readiness,Design and Engineering,Phase 9,OM-01,O&M Strategy,"O&M execution model — in-house, outsourced, or hybrid; staffing concept.",Technical,O&M strategy note,,6/30/2026,7/17/2026,Week 11,Week 13,3 wks,TE-05,
,10. Operations & Maintenance Readiness,Design and Engineering,Phase 9,OM-02,O&M Operator Long-list,Long-list of potential O&M operators with capability assessment.,Commercial,O&M operator long-list,,7/13/2026,7/31/2026,Week 12,Week 15,4 wks,OM-01,
,10. Operations & Maintenance Readiness,Customer Access,Phase 9,OM-03,Customer Service Concept,"Customer service, billing, collections concept — integration approach with EKEDP systems.",Commercial,Customer service & billing concept,,7/20/2026,8/7/2026,Week 13,Week 16,4 wks,CS-04,
,10. Operations & Maintenance Readiness,Design and Engineering,Phase 9,OM-04,Asset Management Framework,"Asset management framework — performance, maintenance, replacement, monitoring.",Technical,Asset management framework,,7/27/2026,8/14/2026,Week 14,Week 17,4 wks,TE-05,
,"11. Monitoring, Reporting, Risks & ESG",Project Management Office/Secretariat,Phase 10,MR-01,Risk Register,"Comprehensive risk register: regulatory, commercial, technical, financial, execution — with owners and mitigations.",PMO,Risk register v1 with owners and mitigations,,5/26/2026,7/10/2026,Week 6,Week 12,7 wks,PG-02,Critical
,"11. Monitoring, Reporting, Risks & ESG",Feasibility Study and Historical Data Acquisition,Phase 10,MR-02,ESG Screening,ESG screening vs InfraCredit / IFC Performance Standards; gap analysis.,Regulatory,ESG screening memo + gap list,,6/2/2026,6/19/2026,Week 7,Week 9,3 wks,FN-05,
,"11. Monitoring, Reporting, Risks & ESG",Regulatory Engagement,Phase 10,MR-03,HSE Framework,"Project HSE policy framework — governance, baseline standards aligned to lender requirements.",Regulatory,Project HSE framework document,,6/16/2026,7/3/2026,Week 9,Week 11,3 wks,MR-02,
,"11. Monitoring, Reporting, Risks & ESG",Feasibility Study and Historical Data Acquisition,Phase 10,MR-04,ESIA Scoping,Scoping note for the post-FID Environmental & Social Impact Assessment — terms of reference for EIA consultant.,Regulatory,ESIA TOR + scoping note,,7/7/2026,7/24/2026,Week 12,Week 14,3 wks,TE-05,
,"11. Monitoring, Reporting, Risks & ESG",Regulatory Engagement,Phase 10,MR-05,Lender ESG Action Plan,Draft ESG action plan covering identified gaps — to be covenanted to InfraCredit guarantee.,Regulatory,Draft ESG Action Plan,,7/21/2026,8/7/2026,Week 14,Week 16,3 wks,"MR-02, MR-04",Critical
